x,f(x),f'(x)
 -1.4999999999999999E-01, -8.6539757000000002E+00, -1.9428571666666784E+01
 -1.4000000000000001E-01, -8.8382190999999999E+00, -1.7438494999999946E+01
 -1.3000000000000000E-01, -9.0031181999999994E+00, -1.5560198333333375E+01
 -1.2000000000000000E-01, -9.1498054000000000E+00, -1.3796759166666677E+01
 -1.1000000000000000E-01, -9.2794422999999995E+00, -1.2150339166666761E+01
 -1.0000000000000001E-01, -9.3932008000000007E+00, -1.0622760000000017E+01
 -8.9999999999999997E-02, -9.4922407000000000E+00, -9.1982949999999803E+00
 -8.0000000000000002E-02, -9.5774614000000007E+00, -7.8590333333333247E+00
 -7.0000000000000007E-02, -9.6497317000000002E+00, -6.6144816666666104E+00
 -5.9999999999999998E-02, -9.7100448000000004E+00, -5.4599016666666289E+00
 -5.0000000000000003E-02, -9.7591701000000004E+00, -4.3739916666666332E+00
 -4.0000000000000001E-02, -9.7977804000000006E+00, -3.3653199999999446E+00
 -2.9999999999999999E-02, -9.8267375000000001E+00, -2.4360324999999561E+00
 -2.0000000000000000E-02, -9.8467456000000002E+00, -1.5850191666665747E+00
 -1.0000000000000000E-02, -9.8585677999999994E+00, -7.7027083333328417E-01
  0.0000000000000000E+00, -9.8622204999999994E+00,  4.6048333333267015E-02
  1.0000000000000000E-02, -9.8581041999999997E+00,  6.9105083333331896E-01
  2.0000000000000000E-02, -9.8485625999999993E+00,  1.2901924999999561E+00
  2.9999999999999999E-02, -9.8322307000000002E+00,  1.9375983333333160E+00
  4.0000000000000001E-02, -9.8100556000000001E+00,  2.4915441666667308E+00
  5.0000000000000003E-02, -9.7825600000000001E+00,  2.9994966666666771E+00
  5.9999999999999998E-02, -9.7501823000000005E+00,  3.4745358333333023E+00
  7.0000000000000007E-02, -9.7131839000000006E+00,  3.9154425000001103E+00
  8.0000000000000002E-02, -9.6719910999999996E+00,  4.3203758333333351E+00
  8.9999999999999997E-02, -9.6268834999999999E+00,  4.6937858333333464E+00
  1.0000000000000001E-01, -9.5782241999999993E+00,  5.0333716666666435E+00
  1.1000000000000000E-01, -9.5263030000000004E+00,  5.3463400000000005E+00
  1.2000000000000000E-01, -9.4713516999999996E+00,  5.6458241666667792E+00
  1.3000000000000000E-01, -9.4134642999999993E+00,  5.9210300000000124E+00
  1.4000000000000001E-01, -9.3530134999999994E+00,  6.1671016666666265E+00
  1.4999999999999999E-01, -9.2901209999999992E+00,  6.4135533333333452E+00
